regno,n,ran,wins,st_sum,st_n,ran1,win1,ran2,win2,ran3,win3,ran4,win4,ran5,win5,ran6,win6
3401,397,391,49,78.93,394,59,28,73,11,66,4,67,3,62,2,64,1
3406,498,495,69,83.74000000000001,496,91,39,84,9,83,10,83,7,82,3,72,1
3411,378,373,19,63.45,376,54,14,65,1,74,2,69,2,60,0,51,0
3412,528,524,139,85.6,524,114,85,79,12,91,15,84,11,79,10,77,6
3414,202,200,18,30.32,200,28,9,34,6,39,1,34,2,30,0,35,0
3415,515,513,115,74.38999999999999,515,109,75,88,20,80,6,83,7,77,4,76,3
3419,185,183,5,40.28,185,26,4,35,1,33,0,28,0,27,0,34,0
3422,513,512,154,77.21000000000001,512,122,88,80,13,83,12,76,18,72,14,79,9
3427,52,51,3,11.3,51,8,3,10,0,7,0,7,0,7,0,12,0
3430,412,410,44,70.18,411,56,24,78,9,73,6,77,3,70,1,56,1
3432,454,450,43,77.45,452,70,27,77,10,82,2,85,4,71,0,65,0
3434,414,407,46,71.65,411,63,35,76,3,66,5,70,1,74,2,58,0
3435,511,508,130,77.88,511,127,84,78,16,79,16,87,11,70,1,67,2
3436,421,415,77,53.11,415,76,45,71,13,78,8,67,5,61,4,62,2
3439,484,482,99,76.19999999999999,484,87,49,89,14,76,12,81,16,72,5,77,3
3441,425,423,28,80.03999999999999,424,60,16,77,7,79,2,73,2,76,1,58,0
3442,410,403,35,67.08,408,64,24,67,3,72,3,71,4,64,1,65,0
3444,343,339,28,54.900000000000006,338,45,12,64,1,65,6,57,6,62,3,46,0
3445,303,297,32,57.519999999999996,300,50,18,49,4,51,1,51,3,50,3,46,3
3448,355,350,26,67.80000000000001,351,59,19,64,5,64,0,57,0,56,2,50,0
3454,388,381,32,59.269999999999996,384,60,14,68,5,63,5,67,2,63,6,60,0
3455,423,416,51,73.57,421,67,29,65,8,80,8,75,5,60,1,69,0
3458,347,340,33,55.07000000000001,342,45,15,61,8,66,6,59,4,56,0,53,0
3459,394,387,25,64.79,390,54,8,69,8,70,2,73,6,71,1,50,0
3461,274,265,13,53.91,270,32,8,55,3,44,1,51,1,41,0,42,0
3462,224,219,21,39.96000000000001,222,30,12,40,2,38,3,33,1,39,3,39,0
3463,399,395,23,75.25,396,61,12,70,1,72,6,74,2,70,1,48,1
3467,336,333,20,59.44,334,51,11,61,5,60,1,58,1,57,0,46,2
3470,325,322,49,54.510000000000005,324,48,17,64,7,64,18,57,5,53,2,36,0
3471,359,356,23,61.56,358,48,13,68,4,67,4,68,1,61,1,44,0
3473,609,603,176,87.19,606,133,68,109,25,97,29,89,19,81,16,94,19
3474,433,428,44,74.5,430,74,26,78,11,78,3,68,2,69,1,61,1
3475,436,421,82,79.04,431,82,45,84,8,66,10,70,14,63,4,56,1
3477,407,405,17,77.26,406,61,9,72,5,79,0,69,2,63,0,61,1
3478,426,421,52,72.65,424,62,33,80,9,81,3,63,5,71,2,64,0
3482,518,516,69,80.38,518,87,39,92,8,94,8,82,7,84,6,77,1
3484,406,403,87,66.61,404,79,52,61,14,79,11,72,9,52,1,60,0
3489,576,569,112,90.21,576,108,70,101,14,99,10,89,8,83,5,89,5
3497,408,407,73,71.27,407,64,45,71,5,77,12,74,8,66,2,55,1
3499,478,468,111,65.09,474,99,74,77,15,88,12,74,5,61,3,69,2
3501,107,105,12,14.740000000000002,106,17,8,17,1,14,1,20,1,19,1,18,0
3502,474,466,78,78.52000000000001,470,87,41,80,12,81,10,76,9,73,4,69,2
3503,414,411,28,69.39,413,54,14,80,3,77,5,77,4,72,2,51,0
3505,492,488,78,70.86000000000001,490,92,46,79,10,90,10,78,5,79,5,70,2
3507,315,311,20,60.29,314,49,14,56,2,53,2,51,1,55,1,47,0
3508,402,399,49,80.61000000000001,400,64,30,71,7,70,6,67,5,66,1,61,0
3509,276,268,13,39.14,272,38,10,51,0,55,2,46,1,40,0,38,0
3514,411,409,105,66.08,411,85,60,62,17,68,11,66,6,60,8,68,3
3516,378,374,31,64.38,375,60,15,65,3,69,6,65,6,59,0,56,1
3517,482,472,85,70.70000000000002,477,79,47,83,6,86,11,77,10,71,6,76,5
3518,294,289,17,56.629999999999995,292,39,4,55,3,60,5,48,5,49,0,38,0
3519,459,455,30,72.14,457,66,17,78,4,84,4,82,3,79,2,66,0
3523,351,346,29,64.94999999999999,347,53,20,54,4,61,0,58,2,60,1,60,2
3527,460,457,55,77.36,459,77,33,79,10,82,5,76,4,72,2,71,1
3528,342,340,23,69.83,341,53,11,63,3,69,5,57,3,51,1,47,0
3532,396,387,120,60.980000000000004,389,93,62,65,14,59,8,55,12,58,12,57,12
3535,362,361,36,69.97999999999999,362,51,22,69,4,68,5,65,5,58,0,50,0
3536,63,63,3,11.24,63,8,3,13,0,12,0,11,0,11,0,8,0
3538,378,375,48,71.49000000000001,377,65,25,61,6,74,10,60,6,56,0,59,1
3539,441,439,30,78.99,441,64,15,84,4,81,5,81,1,70,3,59,2
3541,525,519,117,80.44,523,109,65,82,18,87,15,79,10,86,8,76,1
3542,344,342,24,63.89000000000001,343,53,13,76,3,63,2,50,4,59,2,41,0
3543,388,385,73,62.38,386,66,37,66,17,63,9,71,4,62,4,57,2
3544,254,250,12,49.370000000000005,252,35,4,42,3,48,1,45,3,43,0,37,1
3546,415,410,40,74.21,413,64,22,79,4,73,7,74,5,63,1,57,1
3548,545,542,105,67.69,542,108,68,83,13,98,8,84,10,89,4,80,2
3550,534,534,102,83.75,534,85,48,98,11,98,19,92,13,88,9,73,2
3551,341,339,28,62.11,341,46,14,63,6,70,5,63,1,57,1,40,1
3553,172,171,10,31.970000000000002,172,28,6,27,0,33,1,30,2,31,1,22,0
3554,603,600,167,108.95,602,130,84,103,27,97,20,94,12,89,15,87,9
3556,510,506,137,73.38,506,125,88,84,10,77,15,77,15,67,6,76,3
3557,623,617,156,91.79,622,147,96,94,13,98,11,95,11,88,14,95,11
3558,366,362,49,59.03,362,59,28,64,5,63,7,60,4,56,2,60,3
3562,532,525,111,89.42,530,106,58,95,18,86,14,82,9,71,8,85,4
3563,501,497,82,80.60000000000001,500,88,46,89,10,81,6,81,8,81,7,77,5
3564,469,466,62,76.39,468,64,20,84,11,87,12,88,11,80,3,63,5
3565,70,68,3,12.53,69,10,2,14,0,12,1,11,0,11,0,10,0
3566,423,421,46,79.65,423,59,22,81,10,78,10,74,3,74,1,55,0
3567,280,277,24,48.18000000000001,277,39,14,53,5,53,1,47,4,45,0,40,0
3568,390,385,49,66.45,388,58,24,64,6,77,10,69,6,61,2,56,1
3569,453,451,42,82.8,452,71,24,81,8,77,3,74,4,78,3,70,0
3572,488,485,70,95.64999999999999,487,85,43,86,12,80,8,81,6,85,1,68,0
3574,438,431,102,69.43,433,88,56,73,10,70,10,68,11,65,10,67,5
3576,478,472,106,79.04,474,108,67,73,12,77,9,72,8,59,5,83,5
3577,368,363,54,55.21000000000001,364,60,24,65,10,57,4,59,7,54,5,68,4
3578,368,365,27,67.39,367,57,15,65,3,61,3,62,4,63,2,57,0
3579,337,332,43,56.56,335,47,22,64,8,60,2,57,6,56,4,48,1
3580,378,371,26,73.11,377,58,18,65,0,65,4,70,1,62,1,51,2
3581,464,462,48,87.34,462,72,29,81,5,84,7,77,4,79,1,69,2
3582,523,519,140,84.80000000000001,521,103,62,89,14,95,20,75,12,79,20,78,12
3583,269,266,7,48.31,268,37,2,44,0,53,1,49,2,46,2,37,0
3584,440,438,40,78.03,440,65,16,85,5,81,7,73,8,75,4,59,0
3587,334,331,25,54.019999999999996,331,48,15,61,4,59,3,56,3,55,0,52,0
3589,377,374,38,61.35,374,55,19,76,7,61,3,59,3,65,3,58,3
3590,501,498,139,68.27000000000001,499,115,79,76,17,86,19,78,10,68,11,75,3
3591,257,249,12,47.2,254,38,10,48,0,44,1,45,1,42,0,32,0
3596,382,380,32,64.27000000000001,381,55,21,67,5,75,2,69,2,64,1,50,1
3600,206,204,12,40.89,206,31,9,35,1,37,1,38,1,32,0,31,0
3602,398,391,36,71.16,395,60,17,66,6,62,2,65,7,73,2,65,2
3604,374,373,25,74.65,374,53,17,77,2,74,3,53,2,66,1,50,0
3605,372,367,32,68.52,370,60,24,63,3,69,3,51,2,69,0,55,0
3606,497,490,80,82.81,493,105,49,72,11,82,14,79,1,77,5,75,0
