phase,race_id,fetched_at,t1,t2,t3,t4,t5,t6,s123,s124,s125,s126,s132,s134,s135,s136,s142,s143,s145,s146,s152,s153,s154,s156,s162,s163,s164,s165,s213,s214,s215,s216,s231,s234,s235,s236,s241,s243,s245,s246,s251,s253,s254,s256,s261,s263,s264,s265,s312,s314,s315,s316,s321,s324,s325,s326,s341,s342,s345,s346,s351,s352,s354,s356,s361,s362,s364,s365,s412,s413,s415,s416,s421,s423,s425,s426,s431,s432,s435,s436,s451,s452,s453,s456,s461,s462,s463,s465,s512,s513,s514,s516,s521,s523,s524,s526,s531,s532,s534,s536,s541,s542,s543,s546,s561,s562,s563,s564,s612,s613,s614,s615,s621,s623,s624,s625,s631,s632,s634,s635,s641,s642,s643,s645,s651,s652,s653,s654
live,2026-08-01-15-07,2026-08-01T18:17:03+09:00,1.0,0.0,10.1,20.2,0.0,0.0,27.0,20.7,24.1,36.2,27.2,11.7,13.8,28.2,20.9,13.7,11.6,16.9,37.9,25.1,22.6,36.5,86.3,78.0,48.0,70.0,74.5,75.4,89.5,164.8,199.3,504.7,381.5,734.1,138.8,479.7,367.0,331.8,113.7,384.5,544.4,452.8,320.8,757.0,563.3,515.4,119.9,63.0,74.0,119.6,263.3,291.8,381.5,489.4,105.5,275.2,164.2,191.5,120.5,320.8,209.7,314.6,267.6,712.5,269.1,484.5,78.0,87.6,50.5,58.2,171.8,461.4,308.6,253.6,148.6,400.4,199.3,261.9,74.4,249.7,176.8,100.9,106.4,245.9,325.1,143.7,114.8,123.6,111.3,149.5,185.6,465.8,532.4,381.5,194.5,444.5,432.6,550.5,129.2,461.4,378.5,208.8,295.4,532.4,605.6,270.6,244.7,316.6,192.2,358.9,538.3,931.7,682.4,950.0,682.4,794.2,479.7,914.1,244.7,550.5,499.5,300.9,369.8,914.1,781.4,299.0
live,2026-08-01-20-07,2026-08-01T18:17:21+09:00,3.4,17.2,8.6,17.2,1.2,0.0,39.7,51.1,20.1,43.3,50.8,63.3,29.5,41.7,78.8,81.9,61.5,73.2,9.0,23.5,28.9,8.8,57.0,121.8,93.3,23.2,159.0,193.4,70.0,100.8,243.6,382.9,271.9,318.0,231.6,399.2,360.8,426.4,87.6,199.6,302.6,183.9,240.5,416.9,446.7,367.8,136.9,124.2,101.4,159.0,183.9,223.3,125.0,220.7,297.8,257.0,302.6,275.9,131.2,218.1,318.0,201.7,195.4,367.8,307.5,399.2,191.4,218.1,132.1,197.5,284.2,446.7,323.4,240.5,347.4,521.1,293.1,399.2,159.0,275.9,271.9,312.7,302.6,416.9,457.6,407.8,17.4,46.5,58.0,13.8,51.8,180.4,201.7,97.7,113.7,187.6,250.1,111.0,126.7,228.8,323.4,159.0,19.8,53.6,94.2,98.7,182.1,323.4,228.8,113.0,312.7,375.2,750.5,399.2,375.2,318.0,426.4,399.2,416.9,568.5,694.9,493.7,103.0,341.1,284.2,493.7
live,2026-08-01-01-11,2026-08-01T19:50:06+09:00,1.5,2.3,12.7,12.7,17.0,25.5,7.9,20.3,15.3,75.7,17.3,46.7,37.2,125.7,53.1,79.9,105.0,217.2,36.6,59.9,126.4,198.2,232.9,269.0,437.3,372.4,9.5,21.1,15.7,84.7,15.4,44.5,23.8,125.8,64.1,77.7,87.8,206.0,37.4,48.9,104.4,203.2,276.1,369.4,402.3,378.7,26.8,59.8,48.0,234.5,28.8,90.8,43.7,244.7,200.8,174.0,250.1,441.6,151.4,106.0,216.2,480.7,581.8,564.9,431.7,740.8,148.1,232.1,206.9,334.7,169.0,234.1,264.8,361.5,295.3,319.0,434.5,674.5,258.2,294.7,378.7,345.8,661.3,477.3,636.5,542.3,82.6,151.3,292.8,247.8,86.0,119.6,308.1,336.4,232.5,169.2,538.0,627.6,390.7,435.9,560.2,438.7,548.9,645.6,811.8,605.2,500.2,852.7,961.5,542.3,661.3,664.6,792.8,982.4,909.9,816.7,989.6,1120.0,1004.0,717.3,1232.0,922.3,858.1,1034.0,1129.0,886.1
live,2026-08-02-21-03,2026-08-02T09:10:47+09:00,1.2,9.7,4.8,4.8,0.0,0.0,42.6,62.8,78.7,96.5,41.7,11.2,7.1,61.3,56.8,32.0,43.9,100.3,63.1,21.3,54.4,99.4,182.8,204.7,310.2,269.4,58.1,131.2,173.5,301.1,173.5,341.2,173.5,682.5,255.9,310.2,341.2,319.9,113.7,217.8,330.2,319.9,310.2,445.1,365.6,731.3,63.5,12.6,7.2,65.6,162.5,155.1,116.3,353.0,42.6,115.0,42.4,144.2,17.9,78.7,33.5,73.1,292.5,393.7,217.8,276.7,208.9,68.2,60.9,193.1,341.2,269.4,319.9,222.5,136.5,409.5,127.9,310.2,116.3,365.6,148.3,255.9,465.3,330.2,393.7,487.5,227.5,44.5,99.4,204.7,341.2,179.6,426.5,292.5,49.9,222.5,142.1,249.7,131.2,568.7,213.2,465.3,639.8,853.1,731.3,853.1,330.2,393.7,393.7,853.1,731.3,445.1,930.7,639.8,393.7,682.5,365.6,426.5,1023.0,292.5,409.5,426.5,853.1,682.5,639.8,1137.0
live,2026-08-02-23-05,2026-08-02T10:17:05+09:00,1.2,2.1,0.0,0.0,0.0,15.0,20.5,14.1,53.5,12.7,60.4,88.5,94.4,63.3,17.6,54.9,72.1,11.6,85.4,138.7,141.6,89.7,16.0,54.9,13.7,61.3,115.5,54.5,161.1,51.6,226.1,332.3,401.7,414.1,101.5,379.1,434.1,106.3,256.3,549.3,434.1,320.4,97.5,456.2,126.9,434.1,174.7,199.3,211.9,220.6,295.7,292.5,349.5,420.5,384.5,363.7,815.6,354.1,456.2,363.7,841.1,656.5,354.1,384.5,280.3,747.7,55.5,181.8,104.7,30.1,71.7,168.2,274.6,67.1,407.8,527.7,395.8,336.4,193.6,354.1,527.7,168.2,34.2,55.8,213.6,121.7,109.8,186.9,195.0,137.3,210.2,286.3,507.8,280.3,384.5,507.8,672.9,598.1,320.4,598.1,708.3,263.8,207.0,222.4,527.7,289.4,25.0,124.0,24.8,105.9,43.6,200.8,69.1,213.6,266.5,328.2,305.8,527.7,30.6,58.1,190.9,137.3,166.1,249.2,456.2,217.0
live,2026-08-02-05-06,2026-08-02T13:39:54+09:00,1.0,0.0,22.5,0.0,7.5,22.5,73.3,51.2,18.0,139.7,79.9,149.1,91.0,286.2,75.8,239.8,66.4,311.3,20.0,62.4,28.8,83.7,268.8,507.0,507.0,328.6,126.7,59.7,30.6,219.0,201.6,206.3,132.4,322.6,77.1,175.7,23.8,179.2,21.6,49.9,13.6,58.3,281.6,633.8,354.9,377.5,161.3,146.6,113.0,311.3,219.0,211.2,162.8,467.0,300.7,273.0,213.8,362.1,169.0,150.3,206.3,295.7,347.9,403.3,341.2,591.5,91.9,316.9,124.9,455.0,100.8,206.3,51.2,192.8,467.0,362.1,151.6,507.0,73.9,39.7,169.0,93.4,537.7,422.5,554.5,239.8,17.2,63.8,22.3,77.4,15.2,45.9,9.9,47.4,154.3,119.1,167.4,249.9,50.9,27.1,90.0,64.0,197.1,127.6,203.9,117.5,554.5,1109.0,771.5,806.6,934.0,887.3,1043.0,657.2,1774.0,1043.0,521.9,771.5,1478.0,709.8,985.9,633.8,934.0,611.9,1043.0,554.5
live,2026-08-02-06-06,2026-08-02T13:40:14+09:00,1.7,18.7,0.0,2.6,3.7,18.7,33.3,29.4,54.0,108.4,61.6,66.3,84.2,247.1,42.7,73.6,65.5,194.0,108.4,127.8,136.5,342.9,289.1,514.4,475.7,539.5,52.1,33.2,57.3,192.3,66.1,18.3,23.5,132.4,39.2,15.8,13.6,78.8,93.9,41.2,28.7,176.2,497.1,291.0,252.8,388.1,128.6,109.7,111.7,351.1,134.4,37.1,52.0,224.6,127.8,48.3,66.9,217.9,176.2,81.4,89.5,269.7,762.8,475.7,316.0,486.2,69.5,117.9,82.3,225.7,55.5,26.0,18.3,84.2,153.1,39.6,54.9,207.7,73.4,23.6,51.0,67.2,330.1,205.7,332.6,166.3,231.6,241.7,214.7,421.3,209.6,88.8,56.2,258.7,285.4,117.0,134.0,365.6,167.5,61.1,109.5,142.2,660.3,508.5,486.2,327.7,867.5,1638.0,1229.0,2011.0,902.9,470.7,433.7,1053.0,1382.0,725.3,867.5,983.2,961.8,405.9,902.9,539.5,1580.0,961.8,941.4,691.3
live,2026-08-02-01-03,2026-08-02T16:15:33+09:00,13.0,7.8,7.8,9.7,39.0,1.1,41.2,38.1,93.2,45.7,52.4,40.6,122.1,46.0,41.3,63.3,158.9,33.8,158.9,199.6,268.5,317.8,64.4,77.1,57.2,239.6,51.4,47.4,107.4,52.2,56.5,64.6,149.7,62.9,70.3,85.8,224.1,48.9,198.4,206.3,384.5,384.5,98.8,87.7,63.7,308.4,62.1,57.2,115.8,72.6,76.1,64.6,151.2,53.5,57.3,74.3,160.5,37.8,234.2,197.1,251.2,291.1,84.1,88.7,50.4,302.4,37.5,49.0,92.7,27.6,53.8,79.4,143.5,33.8,62.0,106.6,152.7,48.1,137.2,166.5,227.3,137.2,23.7,26.3,35.9,94.6,354.0,366.4,375.3,354.0,384.5,253.2,445.0,472.0,451.4,314.6,384.5,537.1,375.3,502.4,445.0,404.5,587.7,610.8,724.4,587.7,87.7,118.0,67.8,346.1,115.8,110.0,75.2,394.3,124.6,117.1,81.3,311.5,60.8,64.9,72.7,204.9,546.5,741.7,819.7,502.4
live,2026-08-02-08-12,2026-08-02T16:15:54+09:00,1.0,22.5,3.4,45.0,45.0,45.0,13.7,25.8,17.4,38.7,13.9,11.7,6.9,26.6,30.6,23.8,21.7,43.1,20.4,12.5,28.1,21.9,101.4,90.3,109.4,69.8,105.1,164.1,113.4,280.7,199.8,510.9,333.0,526.7,344.9,612.1,552.4,1078.0,216.4,447.0,580.7,629.1,746.7,849.3,1132.0,601.3,73.2,72.5,39.9,125.6,185.1,441.2,285.5,503.3,149.0,357.6,194.6,292.8,69.1,247.0,249.8,183.6,411.8,561.5,561.5,435.5,135.6,115.9,89.5,145.8,302.0,465.4,432.8,556.9,265.4,672.7,441.2,503.3,138.6,280.7,310.2,149.6,361.4,918.2,659.7,336.3,99.0,54.2,114.2,93.9,209.7,414.3,612.1,535.0,82.9,317.5,311.6,240.9,204.6,522.6,575.8,346.6,222.0,547.9,344.9,435.5,561.5,571.0,882.4,481.9,755.0,772.1,1132.0,1014.0,860.1,1061.0,1171.0,738.5,943.7,1113.0,1113.0,693.3,462.2,860.1,606.6,700.5
live,2026-08-02-13-12,2026-08-02T16:16:13+09:00,1.6,4.6,3.8,0.0,7.7,7.7,7.2,4.8,10.5,33.6,15.8,18.8,37.0,84.5,8.7,17.6,19.5,57.1,29.6,66.8,48.3,98.1,157.8,314.1,240.3,170.1,33.0,22.2,37.3,84.5,128.2,250.4,393.1,682.3,80.1,261.5,230.0,456.6,159.5,534.8,388.0,667.0,682.3,1236.0,1380.0,1380.0,90.9,140.3,172.0,364.2,199.8,373.3,534.8,886.0,256.9,380.5,478.7,848.0,380.5,599.6,732.9,667.0,927.5,1141.0,1120.0,1447.0,56.3,105.8,94.6,202.6,118.7,289.5,296.8,439.7,285.4,418.0,494.7,1041.0,239.3,304.4,554.8,460.1,791.5,873.0,1211.0,1141.0,162.6,268.6,244.3,449.7,234.6,534.8,439.7,456.6,403.8,605.7,587.7,913.3,349.2,446.3,618.3,732.9,973.2,1141.0,1079.0,1141.0,659.6,1380.0,1380.0,1120.0,989.4,1562.0,2047.0,1915.0,1187.0,2283.0,1604.0,1696.0,1798.0,1696.0,2120.0,1855.0,1649.0,2283.0,1978.0,1562.0
live,2026-08-02-15-03,2026-08-02T16:16:34+09:00,1.0,0.0,0.0,0.0,0.0,0.0,16.7,24.5,32.7,83.5,15.8,8.3,8.7,118.6,24.2,12.1,16.0,119.6,41.8,16.8,27.2,169.5,172.5,279.9,296.7,395.6,87.0,125.1,132.4,395.6,178.7,456.4,312.3,801.8,201.8,442.8,605.5,674.3,245.2,442.8,618.1,605.5,1236.0,1348.0,989.0,1412.0,41.6,19.8,18.9,204.6,83.5,247.2,251.4,511.5,46.7,172.5,80.6,370.8,31.5,207.4,94.1,400.9,502.8,957.0,706.4,847.7,75.1,48.0,41.4,208.9,233.6,370.8,333.3,312.3,91.2,216.5,113.6,400.9,103.0,299.6,167.6,430.0,470.9,760.7,690.0,593.4,133.6,54.7,95.4,288.0,380.3,370.8,741.7,801.8,87.5,370.8,179.8,957.0,175.5,470.9,272.2,899.0,1023.0,1023.0,1854.0,1141.0,690.0,706.4,760.7,618.1,1412.0,872.6,1098.0,1648.0,690.0,957.0,927.1,1854.0,989.0,1141.0,1648.0,1648.0,1141.0,2119.0,1978.0,1648.0
live,2026-08-02-20-07,2026-08-02T18:21:55+09:00,1.0,16.8,33.7,33.7,33.7,33.7,21.3,23.9,20.4,90.2,16.8,6.6,7.4,63.5,22.9,9.3,9.3,57.2,22.3,15.8,16.7,70.0,126.5,155.6,139.0,158.4,154.9,124.3,215.8,348.3,231.4,558.4,495.4,617.1,319.8,502.5,651.4,799.5,355.3,567.4,732.9,651.4,586.3,1099.0,977.2,950.7,108.5,60.4,55.6,180.4,258.6,335.0,279.2,567.4,120.8,288.3,234.5,409.0,129.8,390.8,264.5,596.2,533.0,628.2,748.5,837.6,139.6,92.8,73.5,160.6,228.4,606.5,517.3,253.0,150.9,676.5,274.8,395.2,112.0,509.8,311.3,298.1,382.3,413.8,748.5,703.5,167.5,77.8,85.3,222.6,378.2,322.7,879.4,879.4,147.8,423.8,288.3,596.2,141.2,525.0,305.9,418.8,445.3,837.6,606.5,596.2,502.5,837.6,748.5,837.6,858.0,1213.0,1954.0,1256.0,1066.0,1066.0,925.7,1407.0,1005.0,902.0,1302.0,1066.0,732.9,2198.0,1758.0,1353.0
live,2026-08-02-01-11,2026-08-02T19:55:51+09:00,3.3,13.1,3.2,1.9,10.5,19.7,71.1,59.5,144.4,188.6,57.8,11.8,45.9,89.6,31.3,10.4,23.2,39.9,185.0,111.1,82.0,229.9,286.2,244.2,159.2,310.5,296.4,251.0,552.2,769.8,389.4,379.2,547.7,1088.0,272.0,403.0,450.2,588.2,686.0,925.5,651.2,1305.0,1325.0,1678.0,1210.0,1662.0,97.0,18.1,52.5,118.7,240.8,172.9,332.4,491.3,14.3,60.8,21.4,38.9,106.3,284.3,67.0,189.7,300.7,580.0,160.7,298.5,37.5,11.9,22.6,38.4,97.7,133.2,142.7,184.5,14.7,62.7,23.2,39.1,34.2,92.9,40.6,45.7,79.8,186.9,95.9,80.3,575.0,324.0,193.2,681.8,850.1,1000.0,652.5,1180.0,327.2,858.8,219.0,764.5,152.8,408.4,179.5,235.2,930.6,1265.0,991.4,409.9,1228.0,910.3,542.3,1374.0,1740.0,1887.0,1363.0,1909.0,938.5,1731.0,544.1,1206.0,455.8,907.9,535.4,480.7,1440.0,1767.0,1403.0,581.0
