phase,race_id,fetched_at,t1,t2,t3,t4,t5,t6,s123,s124,s125,s126,s132,s134,s135,s136,s142,s143,s145,s146,s152,s153,s154,s156,s162,s163,s164,s165,s213,s214,s215,s216,s231,s234,s235,s236,s241,s243,s245,s246,s251,s253,s254,s256,s261,s263,s264,s265,s312,s314,s315,s316,s321,s324,s325,s326,s341,s342,s345,s346,s351,s352,s354,s356,s361,s362,s364,s365,s412,s413,s415,s416,s421,s423,s425,s426,s431,s432,s435,s436,s451,s452,s453,s456,s461,s462,s463,s465,s512,s513,s514,s516,s521,s523,s524,s526,s531,s532,s534,s536,s541,s542,s543,s546,s561,s562,s563,s564,s612,s613,s614,s615,s621,s623,s624,s625,s631,s632,s634,s635,s641,s642,s643,s645,s651,s652,s653,s654
live,2026-07-05-01-12,2026-07-05T20:24:33+09:00,1.3,5.7,8.6,11.5,6.9,17.2,15.8,5.8,13.9,13.1,32.0,47.2,56.9,71.4,12.3,36.6,31.0,29.0,39.6,76.9,64.6,100.2,40.3,115.2,63.8,125.1,42.6,14.6,42.4,28.0,110.9,216.1,236.9,207.7,46.0,184.1,95.3,74.2,117.4,247.8,205.2,207.7,94.9,260.6,146.5,240.9,184.5,198.1,188.2,250.7,209.2,271.3,304.9,362.9,304.9,270.4,693.6,423.6,181.4,303.9,577.2,573.3,432.2,515.0,716.7,851.5,46.1,173.0,80.2,83.1,72.0,233.0,129.5,113.1,276.5,409.5,497.1,359.8,117.4,134.5,330.8,143.3,143.1,142.8,378.8,210.8,168.9,359.8,218.8,257.5,261.4,459.9,380.5,367.5,530.9,537.5,1011.0,914.9,292.5,319.7,851.5,352.4,704.9,581.1,1228.0,666.7,156.9,651.5,329.5,593.1,230.5,589.0,389.1,554.8,924.8,1023.0,704.9,1211.0,389.1,378.8,1061.0,699.2,914.9,627.7,1228.0,761.1
live,2026-07-05-12-12,2026-07-05T20:24:54+09:00,1.0,6.9,86.6,14.4,43.3,57.7,12.5,6.3,27.3,6.6,29.5,42.5,60.6,42.8,15.9,47.4,61.8,19.7,72.2,114.1,129.2,85.6,15.7,49.6,27.4,68.3,45.0,20.3,75.7,18.6,166.7,256.0,476.9,244.1,62.4,216.9,242.7,68.5,331.1,636.5,483.9,381.3,54.8,232.3,89.6,315.1,189.1,295.2,284.0,236.3,236.3,424.8,586.3,506.4,516.0,488.3,1194.0,644.0,506.4,711.2,908.8,979.5,454.4,764.4,720.6,1128.0,79.1,312.1,231.0,98.1,114.4,443.3,375.1,124.8,740.1,746.9,929.4,636.5,384.9,453.1,956.6,379.5,115.0,114.2,379.5,270.8,380.4,534.5,566.0,376.9,684.4,1329.0,924.2,730.2,714.3,1351.0,1308.0,1308.0,684.4,826.1,1652.0,727.0,586.3,956.6,1652.0,1016.0,55.3,237.0,136.5,251.2,84.1,362.7,163.4,382.2,498.7,667.6,576.0,1229.0,167.0,199.2,641.5,456.9,554.5,667.6,1308.0,656.9
live,2026-07-07-12-12,2026-07-07T20:25:01+09:00,1.2,0.0,3.6,5.4,21.7,0.0,8.9,16.0,31.2,9.1,11.8,14.2,25.1,14.9,23.4,25.9,39.7,25.7,60.3,49.6,72.9,60.2,29.1,32.0,38.1,61.4,66.7,90.4,138.7,70.9,133.9,217.1,312.1,224.1,210.6,279.6,399.5,266.8,317.8,466.1,613.3,587.5,170.9,317.8,271.0,618.7,65.0,73.8,80.7,62.2,119.9,187.4,347.8,180.2,160.7,233.0,298.8,211.8,221.2,353.1,426.3,434.2,146.8,227.7,265.8,510.3,97.9,109.2,129.9,85.3,173.9,328.2,408.8,230.7,200.3,416.1,466.1,293.7,267.8,339.4,434.2,281.9,145.0,253.3,293.7,322.2,260.8,206.8,246.1,239.4,472.4,478.9,720.8,356.7,298.8,492.3,751.8,713.4,401.8,653.4,613.3,495.8,384.1,768.3,785.6,629.9,106.1,148.1,248.8,364.1,184.0,328.2,413.7,568.4,242.7,384.1,382.0,720.8,399.5,463.0,485.5,760.0,602.7,842.4,803.6,760.0
live,2026-07-07-20-12,2026-07-07T20:25:21+09:00,1.0,11.9,7.8,10.5,13.0,30.5,10.6,13.5,24.1,40.9,9.9,7.9,13.1,31.4,13.5,12.3,17.8,29.6,32.6,27.0,38.7,52.6,117.1,116.7,123.4,144.7,70.3,88.8,137.2,179.8,144.8,303.0,449.0,614.8,202.8,310.3,479.5,472.6,371.8,525.4,692.4,827.8,433.9,898.0,719.3,1097.0,55.5,43.1,57.6,110.0,128.8,235.5,308.7,459.4,94.6,207.0,211.3,270.3,149.2,328.5,329.6,362.2,357.4,563.4,687.5,593.8,82.8,73.4,88.5,146.7,171.2,303.3,359.6,373.7,130.7,285.7,296.6,413.9,155.0,291.1,309.0,288.5,339.4,484.2,635.9,480.3,207.8,159.6,191.3,265.5,398.3,611.0,834.8,687.5,247.7,576.5,561.2,689.1,329.2,729.9,662.9,655.6,590.3,1008.0,1011.0,994.4,471.9,633.2,809.7,1077.0,728.1,1703.0,1029.0,1683.0,864.0,1713.0,1340.0,1372.0,874.2,1047.0,1543.0,1512.0,1229.0,1713.0,1384.0,1535.0
live,2026-07-08-01-05,2026-07-08T17:28:48+09:00,1.5,0.0,6.0,0.0,6.0,3.0,29.6,48.1,24.0,21.1,52.8,106.8,50.4,55.5,143.7,178.8,108.7,116.6,22.0,40.9,51.4,14.2,22.8,35.2,85.3,22.4,85.6,148.1,53.7,48.9,160.9,284.0,209.9,157.7,256.8,274.3,256.8,236.6,101.0,232.1,262.4,61.2,94.3,150.8,243.8,76.6,160.9,221.4,96.1,193.1,202.8,209.9,134.1,190.1,251.4,287.4,219.4,340.0,177.5,219.4,262.4,181.5,197.8,256.8,254.1,157.7,248.8,301.7,145.4,140.3,251.4,241.4,209.9,229.9,313.5,335.3,402.3,305.6,167.6,254.1,344.9,191.6,229.9,271.2,317.6,254.1,48.0,91.1,84.4,28.1,79.1,135.6,201.1,56.8,163.1,211.7,416.2,144.5,223.5,246.3,524.8,201.1,29.3,41.6,87.4,137.9,40.9,100.1,142.0,31.8,66.3,106.3,172.4,48.4,204.6,223.5,185.7,188.6,330.7,268.2,335.3,229.9,34.0,50.5,106.8,153.7
live,2026-07-08-24-01,2026-07-08T17:29:08+09:00,1.1,5.0,20.2,20.2,10.1,20.2,10.1,5.3,10.1,14.9,36.9,44.0,87.3,106.1,20.0,60.0,55.9,74.4,40.1,102.8,84.3,98.7,66.8,144.4,112.2,166.4,40.0,15.7,25.5,32.9,106.7,155.9,196.4,255.1,50.1,187.1,71.6,131.8,84.6,239.5,115.5,183.6,139.3,272.8,192.6,245.5,106.1,130.1,135.4,163.7,140.3,165.0,316.8,392.9,159.7,200.4,503.7,491.1,385.2,392.9,479.1,701.6,248.6,516.9,467.7,595.3,62.1,170.8,106.7,153.4,78.8,202.5,135.4,236.6,175.4,370.6,633.7,613.9,153.4,159.7,427.0,288.9,293.2,311.8,613.9,417.9,91.3,178.5,163.7,154.6,135.4,338.7,149.9,242.5,332.9,392.9,595.3,561.3,218.2,178.5,577.8,370.6,306.9,479.1,561.3,561.3,148.8,228.4,297.6,297.6,196.4,297.6,332.9,370.6,71.9,633.7,467.7,577.8,370.6,350.8,701.6,727.6,491.1,595.3,727.6,545.7
live,2026-07-09-20-12,2026-07-09T20:28:50+09:00,1.0,0.0,8.5,6.3,0.0,38.2,15.1,22.2,42.9,48.1,10.5,6.5,16.4,20.0,20.0,14.0,28.8,35.0,67.1,46.5,67.1,115.2,81.2,55.6,68.8,121.2,45.2,58.0,193.7,242.0,126.4,317.2,535.2,519.2,231.4,377.3,595.6,526.0,486.0,750.0,1125.0,1047.0,523.7,773.9,710.5,1157.0,36.0,18.5,35.5,41.2,100.5,139.0,254.7,297.8,43.9,105.3,101.7,142.7,129.5,279.3,214.6,346.1,123.4,353.2,242.5,371.5,88.1,58.3,74.0,116.6,205.2,308.4,383.3,313.1,82.5,241.0,189.8,281.2,145.0,285.2,226.7,263.0,280.6,472.8,446.7,414.7,355.2,209.8,281.9,420.4,656.8,826.6,855.7,1038.0,294.9,702.3,530.6,789.0,307.6,570.4,530.6,508.4,706.4,1500.0,996.0,610.6,318.9,200.5,409.1,491.9,686.5,764.2,778.9,996.0,258.5,686.5,639.5,783.9,540.0,632.8,745.4,906.8,810.0,1320.0,1029.0,1365.0
live,2026-07-10-19-07,2026-07-10T20:17:34+09:00,1.0,26.1,15.2,45.7,91.5,22.8,15.3,24.6,92.4,30.5,12.6,10.4,49.5,12.4,29.1,18.6,94.0,23.8,154.9,147.1,184.4,201.7,43.6,25.8,41.1,161.1,50.0,70.8,173.1,77.9,88.1,143.0,309.2,113.3,163.2,234.4,518.5,199.4,479.0,572.3,638.7,638.7,185.9,223.7,298.8,643.4,42.9,27.9,94.3,26.5,89.7,129.4,282.5,118.4,56.2,114.3,302.9,66.1,303.9,340.3,487.0,381.5,61.1,138.1,85.8,293.8,72.1,50.1,128.8,44.2,153.8,227.1,333.8,174.5,67.4,164.1,216.0,82.8,240.1,413.8,368.8,261.5,71.9,149.9,93.9,235.6,540.7,400.6,498.0,440.7,747.0,759.8,947.8,787.0,540.7,728.4,787.0,816.1,753.4,1101.0,1259.0,753.4,740.7,947.8,947.8,1037.0,100.1,70.1,109.7,288.0,204.0,235.6,319.3,657.8,93.7,205.9,134.1,425.8,162.6,272.0,174.2,537.4,524.6,634.1,565.0,634.1
live,2026-07-11-02-12,2026-07-11T16:20:02+09:00,1.2,6.4,10.5,12.4,7.1,16.0,12.6,13.2,11.1,20.8,15.5,19.4,14.1,26.5,19.0,29.1,22.4,28.6,17.5,21.7,27.7,27.1,54.3,70.2,73.3,69.0,59.8,60.1,54.3,89.1,145.3,270.4,228.6,391.0,160.4,337.2,229.4,317.3,135.1,278.7,274.8,306.3,320.4,669.3,583.7,579.0,86.6,93.9,71.7,133.6,157.9,304.7,222.2,373.4,177.2,301.9,217.6,303.7,121.4,197.1,221.0,226.0,398.5,572.2,617.5,513.7,110.7,187.1,108.8,161.7,215.9,510.4,325.7,419.5,345.9,592.9,448.1,547.6,168.0,277.4,407.4,268.9,382.3,572.2,881.7,488.0,77.5,102.6,111.2,108.7,157.9,325.8,351.6,309.3,184.4,343.7,439.6,399.7,228.1,381.2,510.8,392.4,307.5,459.9,693.4,565.7,414.7,660.4,612.2,642.1,587.1,1489.0,1306.0,1122.0,990.2,1700.0,1568.0,1623.0,884.7,1289.0,1708.0,1150.0,829.8,1105.0,1550.0,1122.0
live,2026-07-11-03-12,2026-07-11T16:20:22+09:00,1.1,9.3,18.7,9.3,18.7,9.3,10.0,15.5,12.2,24.7,16.5,25.0,19.6,30.5,29.5,33.6,37.2,34.7,23.8,26.9,44.4,39.3,53.5,63.5,66.2,69.2,35.6,43.0,39.7,70.9,82.3,214.3,155.0,296.5,125.7,232.1,243.9,338.5,88.3,167.5,234.1,203.6,190.2,377.8,364.3,328.9,65.9,87.6,52.6,93.2,101.1,191.1,149.3,311.2,168.9,206.7,221.9,253.8,96.8,200.1,295.4,236.1,236.1,451.3,418.7,335.7,94.4,143.7,109.1,115.8,158.6,289.1,295.4,304.2,252.3,357.8,362.6,365.9,165.7,277.2,307.7,200.1,218.3,351.6,429.8,276.3,74.2,66.7,125.9,105.0,138.1,199.6,332.9,321.1,109.7,238.9,423.1,386.8,295.4,458.9,453.8,341.3,197.1,386.8,311.2,398.2,191.1,330.2,316.1,402.1,321.1,855.1,718.9,738.5,492.3,883.0,738.5,990.7,367.6,671.4,796.4,649.9,469.6,855.1,902.6,752.2
