phase,race_id,fetched_at,t1,t2,t3,t4,t5,t6,s123,s124,s125,s126,s132,s134,s135,s136,s142,s143,s145,s146,s152,s153,s154,s156,s162,s163,s164,s165,s213,s214,s215,s216,s231,s234,s235,s236,s241,s243,s245,s246,s251,s253,s254,s256,s261,s263,s264,s265,s312,s314,s315,s316,s321,s324,s325,s326,s341,s342,s345,s346,s351,s352,s354,s356,s361,s362,s364,s365,s412,s413,s415,s416,s421,s423,s425,s426,s431,s432,s435,s436,s451,s452,s453,s456,s461,s462,s463,s465,s512,s513,s514,s516,s521,s523,s524,s526,s531,s532,s534,s536,s541,s542,s543,s546,s561,s562,s563,s564,s612,s613,s614,s615,s621,s623,s624,s625,s631,s632,s634,s635,s641,s642,s643,s645,s651,s652,s653,s654
live,2026-07-11-09-12,2026-07-11T16:20:44+09:00,1.2,7.5,3.7,7.5,0.0,0.0,7.5,19.2,24.5,32.4,6.9,10.0,11.5,14.3,31.2,24.5,56.2,49.1,37.7,31.1,101.3,65.7,73.8,49.1,103.8,100.2,69.9,115.2,171.1,179.1,128.5,421.6,352.8,329.2,261.9,501.0,751.6,388.4,392.9,606.5,691.5,628.6,345.7,705.6,523.8,691.5,36.7,44.6,40.3,44.6,92.4,202.1,220.2,288.1,112.9,194.2,258.0,194.2,107.0,210.8,371.7,241.7,130.4,276.6,345.7,314.3,164.6,159.3,169.4,223.0,265.9,367.8,332.4,252.3,195.3,356.4,326.1,332.4,241.7,356.4,416.5,224.5,258.0,241.7,397.4,225.9,207.0,145.8,250.5,248.7,402.0,557.6,586.0,523.8,240.1,329.2,768.3,480.2,486.9,735.6,864.3,443.2,426.8,628.6,691.5,586.0,295.5,217.4,508.4,480.2,548.8,677.9,480.2,691.5,254.2,523.8,586.0,557.6,596.1,406.7,606.5,823.2,480.2,640.2,691.5,785.8
live,2026-07-11-15-03,2026-07-11T16:21:04+09:00,4.1,4.1,0.0,1.3,0.0,8.2,48.1,25.6,130.2,17.6,63.0,65.5,175.5,59.7,38.9,74.4,209.4,30.5,257.7,329.0,294.8,504.8,23.6,77.1,37.7,222.0,52.2,38.3,167.5,21.7,85.7,85.3,312.3,55.5,47.9,77.5,230.3,25.4,519.1,519.1,526.5,558.4,25.0,43.5,26.1,152.9,127.0,128.8,230.3,104.7,145.1,120.8,292.5,89.2,112.0,121.2,257.7,75.6,414.1,376.0,428.5,472.5,91.9,84.5,93.7,326.1,52.0,129.3,166.0,35.6,56.0,120.4,189.0,29.9,142.3,157.5,269.0,101.5,364.9,338.1,392.0,228.9,36.5,28.5,81.5,148.0,511.9,504.8,484.9,491.4,801.2,614.2,695.4,614.2,737.1,472.5,737.1,784.1,635.4,784.1,752.1,329.0,784.1,801.2,969.9,504.8,33.2,89.6,53.5,290.2,33.8,49.8,37.5,208.2,132.1,95.7,154.2,585.0,67.7,43.3,115.9,279.2,658.1,624.6,969.9,466.5
live,2026-07-11-19-06,2026-07-11T19:48:01+09:00,1.0,4.1,139.5,139.5,139.5,0.0,10.8,9.4,39.4,9.7,34.3,59.0,134.3,74.6,35.3,72.6,125.3,70.6,128.9,172.1,202.0,289.2,37.8,107.9,107.6,270.0,13.3,8.7,33.6,8.6,47.6,55.5,183.7,65.0,28.5,69.9,258.6,58.2,105.1,309.4,351.7,242.0,21.8,47.6,47.2,106.2,112.1,158.7,271.5,153.7,134.3,231.6,325.9,237.3,244.4,264.2,698.3,581.9,334.8,346.7,626.7,958.5,268.6,298.0,493.8,729.6,127.6,321.6,255.9,215.3,151.8,384.9,440.4,173.9,359.4,568.4,448.5,509.2,394.2,575.1,498.8,708.5,265.6,265.6,651.8,1018.0,414.2,417.8,376.0,452.6,520.0,470.0,752.1,474.6,440.4,321.6,568.4,922.4,660.6,922.4,660.6,1062.0,922.4,801.4,1321.0,1481.0,102.7,277.7,337.1,872.9,120.4,332.5,270.0,763.8,448.5,387.9,581.9,801.4,634.8,387.9,1222.0,1321.0,828.5,1253.0,1437.0,1321.0
live,2026-07-12-15-05,2026-07-12T17:24:02+09:00,2.6,2.6,0.0,5.2,2.6,0.0,24.9,24.4,7.6,98.5,40.1,124.5,68.3,330.9,42.3,144.8,60.4,256.7,12.2,52.0,42.9,148.7,300.0,776.1,465.6,553.4,31.7,26.7,8.7,107.6,92.4,197.4,61.6,377.2,86.0,234.4,53.1,427.3,10.1,32.7,28.6,74.3,582.0,900.2,758.6,276.7,217.1,300.0,195.1,427.3,232.8,306.9,155.5,562.6,475.5,390.2,453.1,1273.0,269.0,209.6,688.9,823.4,1776.0,1570.0,1534.0,625.1,99.8,435.6,143.9,468.8,234.4,535.8,93.2,435.6,608.2,758.6,377.2,776.1,129.5,65.5,399.5,305.5,726.0,854.6,1227.0,435.6,18.0,75.9,69.9,115.0,15.6,48.7,42.1,74.2,213.0,128.6,392.5,631.0,115.4,74.1,419.3,275.5,381.4,248.2,733.9,515.4,844.0,1500.0,1467.0,1467.0,1646.0,1500.0,1731.0,496.4,2411.0,1534.0,1534.0,548.9,1776.0,1007.0,2500.0,613.8,1227.0,776.1,1350.0,1350.0
live,2026-07-12-20-05,2026-07-12T17:24:22+09:00,1.0,5.2,0.0,0.0,5.2,0.0,19.4,7.8,20.4,54.8,32.8,57.4,53.6,111.4,14.0,50.5,56.4,49.5,56.1,85.0,95.1,189.1,122.8,113.7,187.0,300.6,39.7,9.3,22.0,50.2,126.5,146.3,146.3,215.8,18.5,85.4,34.4,76.8,85.8,154.4,116.9,251.2,181.0,285.3,155.8,295.3,112.2,91.9,93.0,158.8,148.9,128.5,128.5,198.0,163.4,160.3,420.8,431.6,161.8,165.0,481.0,543.0,455.0,350.7,455.0,647.5,27.4,106.5,58.8,131.5,26.6,122.8,62.8,72.5,179.0,243.9,181.0,233.8,117.7,107.9,300.6,251.2,263.0,165.0,510.1,343.5,134.6,191.3,141.4,210.4,202.8,259.0,237.1,189.1,240.5,251.2,431.6,431.6,191.3,263.0,673.4,374.1,526.1,543.0,601.2,455.0,271.5,365.9,400.8,601.2,350.7,410.6,263.0,601.2,647.5,647.5,481.0,510.1,701.4,187.0,601.2,765.2,673.4,543.0,990.3,731.9
live,2026-07-12-19-08,2026-07-12T20:44:27+09:00,1.0,11.8,11.8,23.6,23.6,47.2,6.1,8.0,26.8,33.7,7.8,9.9,22.7,45.3,13.4,14.7,42.3,52.3,51.3,45.6,87.3,139.1,97.7,129.5,137.5,232.5,33.8,58.8,177.6,155.6,88.8,149.8,323.8,478.0,108.7,201.4,506.1,386.1,313.7,485.7,602.3,1003.0,456.3,792.5,654.7,912.6,38.2,40.1,83.6,135.9,80.6,128.1,222.2,459.8,76.2,138.1,293.8,427.2,185.3,256.3,280.1,708.6,427.2,634.0,568.2,825.1,89.7,85.3,152.1,268.9,124.7,230.7,317.0,409.7,118.3,308.9,388.6,501.9,310.5,398.9,463.3,573.6,442.9,700.4,717.1,669.3,214.3,224.7,295.2,456.3,489.7,514.8,427.2,717.1,330.9,463.3,352.2,708.6,602.3,497.8,684.5,772.2,814.0,369.5,912.6,1115.0,381.2,514.8,654.7,956.1,596.4,971.5,926.7,1309.0,734.5,1075.0,602.3,1136.0,941.2,614.6,1158.0,1721.0,1254.0,1229.0,1309.0,1673.0
live,2026-07-13-15-12,2026-07-13T20:25:59+09:00,1.2,20.5,11.0,3.2,20.5,16.0,26.3,16.0,66.3,29.6,28.0,12.4,41.2,24.0,13.2,13.4,23.9,9.5,91.4,82.8,72.7,81.4,47.7,43.0,21.1,87.5,145.5,95.7,216.8,168.8,273.2,363.4,383.9,553.2,147.0,331.4,385.0,224.0,467.4,456.4,621.7,633.4,352.0,576.8,354.8,740.7,183.1,85.1,150.4,114.9,324.2,331.4,377.5,523.3,117.0,309.4,353.9,151.9,332.2,391.7,507.6,496.5,189.5,654.8,204.7,616.1,47.8,54.7,48.2,23.6,110.0,239.9,211.4,119.7,127.2,336.3,272.7,127.5,71.3,167.7,250.5,64.1,36.6,99.0,97.1,69.4,302.5,301.8,185.4,225.9,569.5,453.3,551.0,658.0,586.8,477.2,702.3,774.5,239.0,373.4,591.9,202.6,364.3,618.9,702.3,292.7,128.7,138.3,55.3,279.4,297.2,717.2,366.3,788.0,263.2,677.7,235.7,880.2,73.0,234.1,202.3,238.6,414.5,857.9,922.1,310.8
live,2026-07-14-01-03,2026-07-14T16:19:02+09:00,2.2,7.8,1.7,0.0,5.2,0.0,18.5,30.3,50.9,96.1,18.5,16.1,32.6,72.5,37.3,32.3,64.1,91.4,114.0,90.1,145.8,258.0,245.1,205.9,204.2,437.6,43.5,50.4,141.6,242.6,50.0,33.0,61.5,107.5,76.8,49.3,136.1,140.8,202.5,130.3,224.8,247.5,314.2,191.4,258.0,306.3,30.4,22.5,45.3,100.4,41.7,25.2,55.8,94.6,24.9,27.0,47.2,56.8,77.8,88.1,102.9,142.5,255.3,209.4,153.1,233.4,61.8,59.2,106.1,122.5,89.4,57.5,126.3,125.0,58.7,53.1,96.1,94.2,137.7,154.1,136.1,175.0,182.9,163.4,158.1,245.1,171.4,120.1,173.8,302.6,245.1,158.1,211.2,360.4,117.8,121.3,190.0,224.8,252.6,216.9,216.9,314.2,597.8,510.6,350.1,628.4,288.3,628.4,408.5,980.4,570.0,269.3,462.4,453.9,612.7,335.7,365.8,532.8,453.9,382.9,490.2,765.9,1114.0,680.8,532.8,1167.0
live,2026-07-14-03-12,2026-07-14T16:19:21+09:00,1.2,6.0,5.0,15.0,30.0,30.0,10.5,20.7,18.5,48.6,11.7,9.2,9.1,30.7,25.8,17.8,18.9,43.7,27.1,18.0,30.8,48.9,125.7,108.2,119.4,107.1,80.1,125.7,131.9,177.6,141.6,295.6,337.4,613.6,235.4,316.3,417.5,532.8,273.6,343.2,613.6,642.8,632.7,1306.0,1065.0,1227.0,62.0,45.8,37.8,107.4,150.5,217.7,223.7,426.2,89.2,164.6,123.0,180.7,78.9,217.7,184.9,318.8,400.9,623.0,385.6,487.9,128.9,100.2,87.0,140.6,262.9,316.3,343.2,413.2,166.6,283.2,176.8,238.2,144.1,287.2,235.4,180.7,313.9,506.2,417.5,343.2,171.6,79.7,142.0,210.9,281.2,235.4,554.7,710.4,100.2,287.2,293.4,586.9,275.4,642.8,358.3,404.9,613.6,899.9,663.8,554.7,449.9,749.9,499.9,653.1,899.9,941.8,1349.0,1840.0,920.4,1227.0,642.8,1191.0,880.3,1038.0,843.7,899.9,920.4,1499.0,1065.0,736.3
live,2026-07-14-09-12,2026-07-14T16:19:40+09:00,1.4,5.1,5.7,11.4,7.3,14.6,6.9,11.2,9.8,52.8,10.9,16.4,16.5,60.7,19.8,26.4,32.6,68.7,17.7,23.9,45.3,74.7,147.3,152.2,186.3,197.3,22.0,32.8,23.6,126.3,62.4,157.8,118.4,428.8,126.8,214.4,196.8,520.0,68.3,146.9,210.8,349.2,520.0,810.9,862.1,814.9,69.3,92.5,69.8,184.4,124.3,310.2,266.3,848.7,267.6,328.9,393.7,587.1,152.2,266.3,433.3,591.3,866.6,1186.0,1077.0,1388.0,221.6,309.6,241.2,528.3,356.8,540.6,540.6,925.4,484.6,634.8,712.1,957.9,381.8,525.0,765.4,975.0,1004.0,1269.0,1449.0,1706.0,50.3,74.1,159.1,181.8,84.1,154.5,269.8,313.7,146.5,176.3,406.4,472.0,353.0,380.0,490.4,795.1,385.4,391.8,642.3,765.4,751.3,1004.0,895.0,1070.0,1186.0,1436.0,1621.0,1240.0,1530.0,1516.0,1840.0,1800.0,1654.0,1861.0,2408.0,2243.0,1342.0,1424.0,1638.0,1950.0
live,2026-07-14-24-08,2026-07-14T20:56:25+09:00,1.3,12.3,22.9,13.3,32.1,2.9,22.3,17.1,108.5,7.5,32.8,42.9,155.1,18.5,26.2,50.6,123.4,13.6,243.3,311.4,228.0,105.7,6.4,13.5,9.6,34.9,157.8,106.5,343.5,52.2,362.7,692.3,1102.0,334.3,204.7,601.0,826.2,187.8,1005.0,1720.0,1486.0,846.6,84.7,302.1,174.0,492.7,331.8,319.4,579.4,168.5,555.8,896.6,1454.0,561.5,614.5,860.0,1618.0,714.0,1139.0,1925.0,2087.0,1353.0,279.9,633.0,747.2,1416.0,141.6,316.5,405.1,76.1,254.1,622.9,998.1,217.7,636.0,1060.0,1677.0,585.6,649.5,1409.0,1811.0,433.4,89.3,173.0,400.9,416.2,844.0,1005.0,673.5,294.6,1296.0,1967.0,1580.0,1020.0,1677.0,2279.0,2223.0,1677.0,1072.0,2071.0,2655.0,911.6,320.6,813.9,1116.0,654.2,18.5,42.1,26.6,54.8,48.3,163.5,97.3,216.8,139.4,284.5,322.5,516.0,68.2,117.2,278.4,250.2,109.0,202.1,309.0,218.2
live,2026-07-15-03-12,2026-07-15T16:21:51+09:00,1.0,25.1,10.0,10.0,16.7,50.2,7.7,5.8,12.4,37.7,11.8,15.9,19.5,53.2,10.6,19.4,19.1,48.1,26.8,36.1,37.8,70.8,136.9,175.2,175.5,174.2,43.6,46.6,54.7,115.6,130.2,223.7,296.4,687.9,134.1,336.4,388.9,503.7,180.0,387.3,509.3,631.4,520.8,1316.0,1396.0,1024.0,63.6,74.4,74.4,221.0,147.0,276.0,308.3,542.2,162.5,247.8,254.6,542.2,183.6,340.1,382.5,749.4,830.5,1013.0,1071.0,1418.0,40.3,125.7,107.8,198.6,152.1,298.3,335.2,482.6,310.3,539.1,606.4,903.7,195.7,330.4,426.7,365.8,606.4,1071.0,1396.0,1059.0,154.9,182.1,191.6,288.0,246.4,441.0,520.8,755.6,283.6,545.4,801.6,960.2,283.6,653.8,755.6,912.7,668.0,950.3,1262.0,1097.0,610.5,1843.0,1035.0,1486.0,1396.0,1920.0,1536.0,2194.0,1843.0,2248.0,2048.0,3072.0,1262.0,2194.0,2793.0,2633.0,1961.0,2304.0,3687.0,2304.0
live,2026-07-15-12-04,2026-07-15T16:22:11+09:00,1.0,5.8,23.2,11.6,23.2,0.0,30.8,27.4,61.9,65.0,47.9,74.3,130.8,142.1,37.0,70.2,109.6,123.8,86.5,153.5,145.7,426.5,202.0,205.6,217.3,523.5,18.9,11.5,31.2,99.2,43.6,20.8,58.7,155.6,12.3,12.8,15.5,47.7,42.0,72.4,33.7,174.5,66.1,319.9,149.5,319.9,64.3,126.5,140.4,274.2,78.8,65.4,102.8,230.3,209.4,73.3,202.0,235.0,198.5,137.1,195.2,523.5,359.9,500.7,319.9,460.7,45.1,90.6,95.1,195.2,34.4,38.6,42.3,83.4,225.8,103.7,188.8,235.0,95.1,59.9,191.9,245.0,267.8,133.9,239.9,383.9,179.9,338.7,191.9,442.9,151.5,217.3,157.7,479.9,460.7,230.3,303.0,500.7,245.0,174.5,303.0,479.9,677.5,606.1,606.1,677.5,179.9,639.8,575.8,1151.0,397.1,426.5,303.0,677.5,383.9,639.8,349.0,885.9,548.4,261.7,460.7,548.4,1047.0,767.8,885.9,575.8
live,2026-07-15-13-12,2026-07-15T16:22:31+09:00,1.1,9.3,5.9,31.9,31.9,7.6,7.5,27.0,32.3,12.1,7.5,18.6,19.5,7.1,58.2,52.5,125.1,53.5,94.5,69.4,203.7,75.4,20.8,14.6,55.2,66.4,39.9,128.9,149.6,66.8,69.0,245.0,259.4,144.7,314.6,429.2,717.0,388.6,444.7,533.1,984.0,833.3,157.1,212.1,455.6,591.0,32.6,77.6,76.4,28.6,67.6,297.4,278.6,130.9,172.0,364.8,493.3,270.8,226.1,376.0,698.1,329.1,65.0,159.0,283.3,303.2,364.8,308.8,624.9,341.9,545.7,660.7,948.7,461.3,467.1,934.3,1275.0,829.5,973.6,1468.0,1340.0,984.0,460.1,999.9,911.3,1107.0,469.5,412.9,920.3,505.4,860.4,852.5,1541.0,1321.0,578.1,742.9,1608.0,1057.0,1434.0,1868.0,1887.0,1284.0,752.0,1293.0,968.5,1468.0,77.3,62.7,255.1,302.2,152.7,238.0,660.7,737.0,100.8,217.9,512.4,635.7,667.8,953.6,864.4,1141.0,708.8,1156.0,924.9,1170.0
